No,Kabupaten_Kota,Latitude,Longitude,IKA,IKU,IKL,Sampah_Tidak_Terkelola,Jumlah_Kendaraan_Bermotor,Kepadatan_Penduduk,Akses_Sanitasi,Indeks_Pembangunan_Manusia,IKLH
1,Kabupaten_Cilacap,-7.727681,109.006367,48.97,89.62,44.42,21.25,968313,872,83.25,72.55,64.43
2,Kabupaten_Banyumas,-7.423414,109.229682,55.14,88.58,47.46,2,911167,1328,83.25,74.52,67
3,Kabupaten_Purbalingga,-7.387633,109.364316,55,91.04,43.62,84.42,470476,1288,82.01,70.97,67.1
4,Kabupaten_Banjarnegara,-7.396169,109.699493,51.24,92,75.29,99.7,427114,924,52.4,69.62,73.01
5,Kabupaten_Kebumen,-7.669873,109.651836,53.11,91.42,58.73,21.91,642851,1060,93.43,72.48,69.86
6,Kabupaten_Purworejo,-7.717164,110.007594,41.43,88.18,68.68,53.04,399420,735,84.64,75.16,66.33
7,Kabupaten_Wonosobo,-7.356937,109.904442,51.15,92.05,66.67,85.73,360006,910,63.81,70.63,71.11
8,Kabupaten_Magelang,-7.504783,110.220161,54.88,92.06,52.41,51.09,631755,1187,83.77,72.1,69.4
9,Kabupaten_Boyolali,-7.544985,110.611875,60.59,83.34,40.91,38.4,619942,1003,88.26,75.96,65.49
10,Kabupaten_Klaten,-7.713074,110.591445,53.85,86.15,27.2,40.33,912678,1851,97.86,78.16,61.09
11,Kabupaten_Sukoharjo,-7.70048,110.83642,52.33,89.47,32.67,20.93,688006,1908,97.08,79.3,63.07
12,Kabupaten_Wonogiri,-7.81419,110.92639,53.16,92.76,36.72,43.56,504238,553,96.25,72.54,65.6
13,Kabupaten_Karanganyar,-7.59819,110.95869,50,91.21,65.68,99.93,636899,1198,98.54,78.11,70.12
14,Kabupaten_Sragen,-7.42953,111.00693,51.05,91.05,55.78,29.81,692582,1010,95.71,75.53,68.29
15,Kabupaten_Grobogan,-7.07931,110.91738,52.58,90.8,57.83,46.94,759819,744,93.94,72.02,69.21
16,Kabupaten_Blora,-6.96576,111.42253,53.4,91.36,67.36,0.8,454628,464,90.81,71.42,71.83
17,Kabupaten_Rembang,-6.70318,111.34203,52.86,90.17,48.23,85.52,338173,641,94.89,72.53,66.96
18,Kabupaten_Pati,-6.75234,111.04088,50,86.52,36.74,57.07,804837,872,96.33,74.1,61.89
19,Kabupaten_Kudus,-6.82089,110.83704,54.29,91.47,32.11,36.17,634.503,1974,95.9,77.21,64.49
20,Kabupaten_Jepara,-6.59706,110.6756,49,87.42,42.61,45.27,769609,1208,68.05,74.32,63.16
21,Kabupaten_Demak,-6.91003,110.61819,55.61,72.53,27.28,99.93,701031,1281,95.13,74.57,56.26
22,Kabupaten_Semarang,-7.13672,110.40486,51.86,88.46,50.96,85.58,643680,1069,86.32,75.67,66.49
23,Kabupaten_Temanggung,-7.31665,110.17603,59.63,87.84,46.81,68.61,352736,942,71.77,71.86,68.25
24,Kabupaten_Kendal,-6.92147,110.20583,42.38,81.24,39.68,99.26,650182,1056,83.05,74.34,57.53
25,Kabupaten_Batang,-6.90689,109.72685,58.68,80.61,44.58,78.11,418434,978,65.92,70.73,64.47
26,Kabupaten_Pekalongan,-7.02688,109.58974,46.36,74.61,57.27,93.45,207249,1141,82.61,71.95,60.19
27,Kabupaten_Pemalang,-6.89253,109.43137,48.33,92.83,50.39,71.84,681652,1355,84.32,68.65,66.81
28,Kabupaten_Tegal,-6.99517,109.12861,49.41,85.21,40.42,82.76,757356,1702,87.09,71.7,61.94
29,Kabupaten_Brebes,-6.87454,109.05355,61.16,90.71,48.96,98.18,819422,1185,85.85,70.18,70.46
30,Kota_Magelang,-7.50467,110.22014,56.67,86.83,35.88,5.16,127514,6596,88.55,82.15,64.33
31,Kota_Surakarta,-7.54885,110.78279,50,93.04,31.71,1.65,649657,11302,85.07,84.41,63.42
32,Kota_Salatiga,-7.33117,110.50117,48.67,87.8,34.67,1.84,170602,3661,96.28,85.72,61.45
33,Kota_Semarang,-6.98147,110.41317,45.56,86.9,31.04,71.92,1985109,4618,95.83,85.24,59.12
34,Kota_Pekalongan,-6.89646,109.66211,50.56,84.98,26.14,81.52,230608,6950,89.38,77.21,59.15
35,Kota_Tegal,-6.85611,109.13778,50,90.75,23.84,74.02,213539,7316,92.48,77.5,60.78